order_number,well_number,approval_date,year
151285.0,15,1979-03-27,1979
84366.0,40-1,1971-04-01,1971
90557.0,57-5,1972-04-25,1972
403699.0,1,1996-07-22,1996
347203.0,3,1990-05-16,1990
1603620072.0,3-1A,2016-06-06,2016
79991.0,6,1970-04-24,1970
474026.0,6-7,2003-03-28,2003
1303860073.0,6-1,2013-04-23,2013
80009.0,5,1970-04-27,1970
92107.0,14-16,1972-07-18,1972
129677.0,4,1977-04-12,1977
229000.0,10-1B,1982-12-01,1982
1104430029.0,12-2,2011-11-17,2011
360187.0,6,1991-09-23,1991
87805.0,37-3,1971-11-23,1971
87808.0,37-7,1971-11-23,1971
148211.0,3-21,1978-12-27,1978
397286.0,2,1995-11-17,1995
40005.0,23,1959-06-30,1959
86166.0,20-4A,1971-08-16,1971
128156.0,2,1977-02-15,1977
422929.0,3,1998-05-06,1998
601983.0,1-29,2012-09-13,2012
485559.0,1-14,2004-02-11,2004
1608680077.0,14-7,2016-08-19,2016
458882.0,1,2001-12-11,2001
570233.0,1-12,2009-09-15,2009
418493.0,6-30,1997-12-04,1997
366968.0,6-19,1992-07-14,1992
408315.0,1-6,1997-01-06,1997
431171.0,13-17,1999-03-30,1999
366966.0,3-17,1992-07-14,1992
1702250020.0, 5-7,2016-10-24,2016
366964.0,2,1992-07-14,1992
419011.0,5-29,1997-12-19,1997
407640.0,9-6,1996-12-09,1996
392140.0,4-7,1995-05-10,1995
395366.0,7-18,1995-09-11,1995
366969.0,7-20,1992-07-14,1992
457362.0,6-20,2001-10-17,2001
457240.0,1-32,2001-10-12,2001
489937.0,32-2,2004-05-11,2004
443697.0,2-25N,2000-08-14,2000
371980.0,2-19,1993-02-23,1993
489938.0,9-20,2004-05-11,2004
403303.0,2-19N,1996-07-08,1996
367780.0,12-18,1992-08-24,1992
378876.0,2-31,1993-12-22,1993
355702.0,1-34,1991-04-01,1991
568055.0,1A-20,2009-06-01,2009
1105850117.0,1,2011-06-30,2011
1007770062.0,11-7,2010-06-30,2010
449190.0,2-24,2001-02-15,2001
465875.0,11-30,2002-07-23,2002
483625.0,7-8,2003-12-09,2003
484128.0,2-13,2003-12-17,2003
566356.0,1-12,2009-03-20,2009
511700.0,1-1,2005-09-23,2005
1709170036.0,14-12,2017-06-21,2017
1608680078.0,14-11,2016-06-16,2016
546895.0,1-24,2007-11-21,2007
1608680079.0,14-13,2016-06-16,2016
1104650003.0,1,2011-08-24,2011
1200180042.0,1-20SWD,2012-03-20,2012
1204220001.0,1-13,2012-02-28,2012
589434.0,1,2011-09-26,2011
1302040033.0,2,2012-10-18,2012
1505940094.0,1-2 SWD,2015-02-23,2015
1505620035.0,1,2015-04-20,2015
663000.0,3-3,2017-04-20,2017
547004.0,1-6,2007-11-26,2007
1403520058.0,1,2014-01-17,2014
345961.0,2D,1990-03-27,1990
122429.0,24-1W,1976-06-29,1976
266505.0,J-14,1984-10-04,1984
391245.0,1,1995-04-06,1995
163288.0,106,1979-10-03,1979
315539.0,35,1987-08-11,1987
163288.0,104,1979-10-03,1979
322790.0,48-1,1988-03-07,1988
387857.0,1,1987-12-07,1987
415981.0,3,1981-09-17,1981
415980.0,2,1981-09-17,1981
348817.0,4-3,1990-07-20,1990
418488.0,4-2,1997-12-04,1997
75401.0,9,1969-07-02,1969
75289.0,6,1969-07-01,1969
375366.0,8,1993-07-21,1993
375365.0,12,1993-07-21,1993
286477.0,15,1985-10-03,1985
547775.0,2-3,2007-12-13,2007
510645.0,2-4,2005-08-31,2005
391980.0,20,1995-05-04,1995
163793.0,4,1980-01-04,1980
75288.0,10,1969-07-01,1969
559146.0,23,2008-09-08,2008
404946.0,9,1981-08-19,1981
404948.0,7,1973-01-09,1973
384223.0,19,1994-06-21,1994
384295.0,7-2,1994-06-22,1994
244928.0,6-8,1983-09-14,1983
384261.0,6-4,1994-06-21,1994
391982.0,7-5,1995-05-04,1995
116410.0,1,1975-11-10,1975
81074.0,PL 2,1970-07-13,1970
264921.0,3-1,1984-09-06,1984
319547.0,4,1987-12-02,1987
435675.0,14-2,1999-10-05,1999
565843.0,7-13,2009-03-04,2009
429909.0,6-22,1999-02-01,1999
549219.0,10-7,2008-01-23,2008
317486.0,1C-1,1987-10-01,1987
439220.0,1,2000-02-29,2000
548042.0,8-7,2007-12-19,2007
550901.0,9-7,2008-03-04,2008
562111.0,8-2,2008-11-12,2008
1106270082.0,8-5,2012-04-12,2012
549771.0,8-11,2008-02-07,2008
429394.0,9-1,1999-01-07,1999
1106270081.0,9-5,2011-05-20,2011
547992.0,4-2,2007-12-18,2007
277869.0,1B-2,1984-05-30,1984
256630.0,1A-1,1984-09-28,1984
258288.0,2-1,1984-04-30,1984
258135.0,3-2,1984-04-26,1984
431217.0,3-4,1999-03-31,1999
304010.0,1,1979-03-15,1979
362151.0,1,1991-12-20,1991
394691.0,3-1,1995-08-16,1995
415978.0,8-1,1997-09-12,1997
415979.0,7-1,1982-02-11,1982
570002.0,1,2009-09-03,2009
218895.0,6,1982-06-18,1982
39590.0,1,1959-05-12,1959
472173.0,24-9,2003-02-03,2003
370772.0,6-11,1992-12-24,1992
367589.0,7-4,1992-08-12,1992
370771.0,6-7,1992-12-24,1992
462751.0,24-1,2002-04-17,2002
120876.0,1-2,1976-04-22,1976
120876.0,4-6,1976-04-22,1976
120876.0,5-1,1976-04-22,1976
120876.0,5-3,1976-04-22,1976
430179.0,13-1,1999-02-10,1999
460624.0,12-3,2002-02-07,2002
559145.0,12-6,2008-09-08,2008
317292.0,12-1,1987-09-28,1987
318434.0,11-8,1987-10-28,1987
317291.0,10-1B,1987-09-28,1987
185867.0,13-J2,1981-03-16,1981
219495.0,13-J5,1982-07-01,1982
185867.0,21-1,1981-03-16,1981
185867.0,22-9,1981-03-16,1981
219495.0,13-19,1982-07-01,1982
316152.0,30-13,1987-08-26,1987
219495.0,30-17,1982-07-01,1982
185867.0,28A-1B,1981-03-16,1981
295524.0,47-3,1986-03-27,1986
292673.0,45-1,1986-02-05,1986
345464.0,39-21,1990-03-07,1990
289862.0,39-10,1985-11-25,1985
289860.0,39-15,1985-12-10,1985
250194.0,2,1983-12-15,1983
185867.0,34-1,1981-03-16,1981
364860.0,32-1,1981-03-16,1981
185867.0,36-1,1981-03-16,1981
337696.0,32-2,1989-04-06,1989
120876.0,7-2,1976-04-22,1976
120876.0,7-5,1976-04-22,1976
453768.0,42-1,2001-07-03,2001
447727.0,44-19,2000-12-21,2000
447285.0,44-9,2000-12-05,2000
447671.0,67-1,2000-12-20,2000
368564.0,40-9,1992-09-28,1992
322789.0,61-10,1988-03-07,1988
384259.0,23,1994-06-21,1994
1101120018.0,3-4,2010-12-09,2010
1200530115.0,5-3,2011-10-14,2011
384260.0,9,1994-07-07,1994
1200530117.0,5-4,2011-10-14,2011
1200580102.0,5-8,2011-10-14,2011
93493.0,3,1972-10-05,1972
546202.0,10-3,2007-11-02,2007
388699.0,11,1994-12-13,1994
83939.0,12-2,1971-03-01,1971
265662.0,6-1,1984-09-20,1984
128783.0,7-6,1977-03-08,1977
83963.0,8-1,1971-03-01,1971
83932.0,15-1,1971-03-01,1971
83933.0,20-2,1971-03-01,1971
83936.0,1-4,1971-03-01,1971
155750.0,68-8,1979-07-26,1979
185867.0,71-1,1981-03-16,1981
155753.0,65-14,1979-07-26,1979
325196.0,81-1,1988-04-28,1988
155758.0,65-13,1979-07-26,1979
155755.0,67-5,1979-07-26,1979
155748.0,79-4,1979-07-26,1979
155756.0,82-1,1979-07-26,1979
155747.0,80-1,1979-07-26,1979
363737.0,77-8,1992-03-05,1992
358174.0,76-1,1987-05-01,1987
1405860034.0,5,2014-05-14,2014
185865.0,88-3,1981-03-16,1981
339254.0,86-2,1989-06-06,1989
93493.0,5 UPPR,1972-10-05,1972
1005880045.0,83,2010-03-22,2010
163288.0,81,1979-10-03,1979
163288.0,80,1979-10-03,1979
294951.0,19,1986-03-20,1986
163288.0,26,1979-10-03,1979
296504.0,17,1986-04-18,1986
163288.0,24,1979-10-03,1979
163288.0,22,1979-10-03,1979
343906.0,12,1990-01-02,1990
167011.0,3-8,1980-04-03,1980
294554.0,93,1986-03-12,1986
156623.0,4-1,1979-08-11,1979
41098.0,1,1959-11-16,1959
250195.0,18,1983-12-15,1983
130830.0,6,1977-05-10,1977
555491.0,36,2008-06-17,2008
372333.0,29,1993-03-11,1993
569184.0,44,2009-07-21,2009
443597.0,34,2000-08-10,2000
569062.0,30,2009-07-16,2009
555747.0,32,2008-06-23,2008
380701.0,42,1994-03-10,1994
372335.0,57,1981-08-19,1981
368189.0,56,1992-09-10,1992
196684.0,70,1981-08-19,1981
569185.0,52,2009-07-21,2009
375323.0,54,1993-07-20,1993
408813.0,64,1997-01-23,1997
441510.0,53,2000-05-26,2000
398886.0,85,1996-01-24,1996
92152.0,84,1972-07-19,1972
395718.0,89,1995-09-21,1995
95212.0,90,1973-01-09,1973
414605.0,92,1997-07-31,1997
571642.0,91,2009-11-19,2009
369589.0,79,1992-11-10,1992
1001030051.0,95,2009-11-16,2009
572137.0,97,2009-12-10,2009
339729.0,40,1989-06-26,1989
413576.0,116,1997-06-24,1997
569587.0,115,2009-08-11,2009
369592.0,118,1992-11-10,1992
130830.0,26,1977-05-10,1977
130830.0,55,1977-05-10,1977
339897.0,70,1989-07-05,1989
373949.0,69,1993-05-14,1993
336234.0,42,1989-03-03,1989
339701.0,56,1989-06-23,1989
336231.0,66,1989-03-03,1989
420448.0,17-A,1998-02-09,1998
421421.0,19,1998-03-11,1998
560344.0,27,2008-10-03,2008
1708300044.0,61,2017-01-09,2017
1700790052.0,4,2017-01-09,2017
426917.0,4,1998-09-29,1998
427339.0,11,1998-10-14,1998
55340.0,16A,1964-06-02,1964
562114.0,13,2008-11-12,2008
373950.0,75,1993-05-14,1993
380273.0,1,1994-02-17,1994
350516.0,7,1990-09-27,1990
130830.0,77,1977-05-10,1977
373952.0,91,1993-05-14,1993
339702.0,89,1989-06-23,1989
130830.0,112,1977-05-10,1977
339730.0,98,1989-06-26,1989
130830.0,107,1977-05-10,1977
373954.0,97,1993-05-14,1993
130830.0,88,1977-05-10,1977
373951.0,80,1993-05-14,1993
1106240050.0,81,2011-11-23,2011
130830.0,86,1977-05-10,1977
397295.0,106,1995-11-17,1995
397296.0,99,1995-11-17,1995
130830.0,100,1977-05-10,1977
130831.0,105,1977-05-20,1977
341780.0,122,1989-09-26,1989
130830.0,115,1977-05-10,1977
374233.0,114,1993-05-28,1993
130830.0,121,1977-05-10,1977
