well_number,latitude,longitude,zone
1-17,35.9489798,-98.4984244,CHASE
1-22 SWD,35.7649381,-98.3540299,"CHASE, SHAWNEE"
25-12,35.8308798,-98.5408187,"PENN, UNDIFFERENTIATED WOLFCAMP, VIRGILIAN"
1-21,35.9394592,-98.4793723,"ELGIN, ENDICOTT, TONKAWA"
1-16 SWD,35.86796,-98.37271,DOUGLAS
1-31,35.81875,-98.4166667,TONKAWA
2-6,35.8914921,-98.5235829,"ELGIN, ENDICOTT, PAWHUSKA, PENN "
1-1,36.1543662,-98.5417865,"COTTAGE GROVE, DOUGLAS, ENDICOTT, HOOVER, TONKAWA"
1,35.65495,-98.329168,BROWN DOLOMITE
1-26,35.7534581,-98.5551681,SHAWNEE
1,35.98608,-98.47743,"VIRGILIAN, MISSOURIAN"
1-1 SWD,0.0,0.0,DOUGLAS
SWD 1,35.84169,-98.35911,"WOLFCAMPIAN, VIRGILIAN"
1,0.0,0.0,"WOLFCAMPIAN, VIRGILIAN"
1,36.1195381,-98.2234498,"HUNTON, MISENER "
2,34.1006481,-96.575888,MCLISH
103-2,34.0932878,-96.5670969,BROMIDE
106-13,34.091541,-96.565077,"BROMIDE, MCLISH, OIL CREEK"
209-2,34.0860008,-96.5583914,"BROMIDE, MCLISH"
201-4,34.086225,-96.56767,"MCLISH, OIL CREEK"
5-1,34.0649519,-96.4901135,CRETACEOUS
1-2,34.9394488,-98.2142883,"HOXBAR, PERMIAN "
B-2,34.9410776,-98.1509771,"FORTUNA, ROWE"
44-4,34.9332805,-98.1865018,PERMIAN
3,34.55271,-98.06704,WADE
4-5,34.9210949,-98.1399916,FORTUNA
8-1,35.2054187,-98.0968246,MARCHAND
4-1,35.2126648,-98.1056479,MARCHAND
5-1,35.2163262,-98.1146415,MARCHAND
6-1,35.2091318,-98.1144546,MARCHAND
1,34.9571582,-98.1139956,PONTOTOC
56G-1,35.2959898,-98.2732916,MARCHAND
46-1,35.303184,-98.30391,MARCHAND
58-1,35.2959364,-98.2935412,MARCHAND
45-1,35.3031545,-98.3084604,MARCHAND
67-1,35.2869164,-98.266618,MARCHAND
68-1,35.285177,-98.2600546,MARCHAND
60-1,35.2959502,-98.3083521,MARCHAND
42-1,35.18204,-98.20107,MARCHAND
1-23,35.3320624,-98.2292306,MARCHAND
39-3,34.922081,-98.1147445,PERMIAN
1-10,35.3563039,-98.2422728,MARCHAND
22-1,35.2000234,-98.1132103,MARCHAND
1,34.9449929,-98.1624252,"GARBER, PERMIAN"
38-1,35.1835434,-98.1063782,MARCHAND
1-17,35.3465255,-98.2772623,MARCHAND
41-1,35.179968,-98.1063407,MARCHAND
23-1,35.1908706,-98.1132003,MARCHAND
