well_number,well_type,well_name,operator_id
1,CDW,T & S MUD DISPOSAL,22891
 2-1,2D,CHANDLER,21008
1-32,CDW,COLBERT,19416
4-25,2D,POWELL,23794
2 SWD,CDW,FOLLIS,15608
1,CDW,LADD ROAD SWD,23988
5,2R,GLADYS LOVE,22756
1,CDW,FRY STEPHENS,22078
2,2D,H.G. LITTLE,16896
3-1,2R,N. PAYNE HUNTON UNIT,14112
37-1,2R,NORTH PAYNE HUNTON UNIT,14112
21-2,2R,NORTH PAYNE HUNTON UNIT,14112
24-1,2R,N.P.H.U. (LUTTRELL),14112
27-1,2R,N.P.H.U. (H.J. Hedrick 1),14112
27-2,2R,NORTH PAYNE HUNTON UNIT,14112
36-1,2R,N.P.H.U. (OPAL WEBB ESTATE 1),14112
8-1,2R,LINDSAY DEESE UNIT,16896
22-3,2R,LINDSAY DEESE UNIT,16896
1,2D,JV NORVILL UNIT,22649
1-19,CDW,ALSUP SWD,20003
1,2D,"KUNKEL, J. C.",15436
1,2D,W.E. CALDWELL,12871
1,2D,BAKER UNIT,12871
1,2D,BAKER SWD SYSTEM,12871
2,2D,AUTRY C-130,23839
1-A,2R,CARSON,23766
2,2D,EASTOK-SIBERT,18249
3-16,2D,ADAMS,23396
2,2D,HARMON,21853
1-16,2D,HARDING,22700
1-17,2D,DOWNUM,23617
1-12,CDW,RUBY TATE,22461
1-10,2D,SHOFFNER,17067
1,2D,LANDMARK,20994
1,2D,BOB SWD,16711
1,CDW,GS&T SWD,22700
1D,2R,VANTUYL,12450
4,CDW,MONFORT UNIT,7250
1,2D,MARLATT,22182
2-2,2R,E. C.V.L.H.U.,23943
4-2,2R,SW RINGWOOD UNIT,21003
1,CDW,FAST,21455
1-A,CDW,SUIT,23274
A-1,2D,SMITH-JORDAN,19792
3-7,CDW,RING,21455
1,CDW,GORDON DIERKSON,19191
1,CDW,CHESTER YOUNG,21455
1-12,CDW,RANSON,21455
1-17,2D,LEHENBAUER,17713
2-22,2D,OVIATT,20631
31-2,2D,EDWARDS,17728
4-3,2D,SODOWSKY,16896
10-2,CDW,FAST,21455
1-18,2D,PEGGY,17713
1-19,2D,CHET,3186
24-13,2D,PATRICIA,22182
1-20,2R,JAMES,17713
1-20 SWD,2D,DOROTHY,3186
1-17,2D,UVAH,17713
2,CDW,THE BLUFF SWD,21455
1-4,CDW,YELLOW JACKET,21455
2-19   SWD,CDW,KLIEWER,22078
5,2D,MENO SWD,16896
16 SWD,2D,MAJOR  ,23514
1-29 SWD,2D,ELWELL ,20631
1,2D,E.F. SCHRAG,19904
20-1,2R,SW RINGWOOD UNIT,21003
1,2D,MAJOR COUNTY UNIT 27,21003
13-1,2R,SW RINGWOOD UNIT,21003
2-1,2R,SW RINGWOOD UNIT,21003
7-2,2R,SW RINGWOOD UNIT,21003
10-1,2R,SW RINGWOOD UNIT-WALTER UNIT 1,21003
19-1,2R,SW RINGWOOD UNIT (MCBURNEY 1),21003
1,2D,A.W. MCCLEARY,19904
110-5,2R,MEYERS,3653
N7,2R,NORTH MADILL BROMIDE SAND UNIT,3653
1 SWD,2D,A J NUNLEYAKA NMBSU-J-7,3653
6,2D,DILLEY,14490
104-13,2R,MCLISH UNIT (CHRISMAN),3653
203-3,2R,THOMAS,3653
101-3,2R,LITTLE,3653
101-9,2R,LITTLE,3653
101-4,2D,LITTLE,3653
1,2D,WARD HENDRICKS,21422
1,2D,PERSCHICA,23691
8,2D,BEARD,23691
1A,2R,GODFREY,19249
18,2D,I.C. BROWN,22790
1,2R,LITTLE,23691
1,2D,UNIVERSITY OF TULSA,7043
3,2D,KELSO,23691
4,2R,KELSO,23691
107-5,2R,THOMPSON,3653
7,2R,TEENOR,3929
2-C,2R,LEVI YODER,3929
35,2R,TEENOR,3929
36,2R,TEENOR,3929
A1,2R,J.N. LEWIS,20266
9,2RSI,SE HOOVER UNIT,22756
1,2D,(TEX-CON) WOODRUFF,20793
1,2R,JAMES B,23344
4,2D,COLLIE JAMES,23344
1,2D,BOYCE,20003
1-2,2R,NE DAVIS UNIT,22708
4-4,2R,NE DAVIS UNIT,22708
7-1,2R,NE DAVIS UNIT,22708
10-4,2R,N.E. DAVIS UNIT,22708
9-3,2R,N.E. DAVIS UNIT,22708
1,2D,L.L. CHAFFIN,23344
4-6,2D,N.E. DAVIS UNIT,22708
2-4,2R,NE DAVIS,22708
9-4,2R,N E DAVIS UNIT,22708
1,2R,CRUMP,14897
5,2R,HOWELL,14156
3,2R,HOWELL CIRCLE RANCH,14156
A1,2R,HOWELL,14156
1-10,2R,WILSON CIRCLE RANCH,14156
2,2R,HOWELL CIRCLE RANCH A,14156
1,2R,W.T. WILSON,14156
6,2D,HOWELL CIRCLE RANCH A,14156
1,2D,SHORT DALE,24062
1,2D,BRISTOL-HACKER,23917
3,2D,NACE HARRISON,23344
1,2D,CLIFFORD,21657
1-8,2R,N.E. DAVIS,22708
10-11,2R,N.E. DAVIS,22708
2,2R,BAKER,13189
3,2D,BAKER,13189
4,2R,BAKER,13189
1-10,2D,WILSON THOMAS,14156
6,2D,LASH,15895
2,2D,BULLARD,23362
1,2D,JAMES TRUST,12871
1-25,2D,MOORE,20068
5,2D,C.W. PURTLE,21102
1,2D,GLENN ARMS,23344
2,2D,SMITH,11803
5,2R,EMERY,10368
W-11,2R,MUSKOGEE ROYALTY UNIT TR 2,10368
4,2D,HOLDEN-CULLEN,21564
2,2D,JOHNSON C,11803
5,2D,JOHNSON C,11803
1A,2D,BOWER,11803
4,2R,ROBINSON DUTCHER SAND UNIT,21553
5,2D,NICHOLS (ESCOE),10368
1,2D,HOLDRIDGE DOTSON,10368
W-195,2R,MUDS,22760
197,2R,MUDSO,22760
2-A,2D,BREEDEN,20367
1A,2R,MANGRUM-CHEZ,12683
2,2D,COBURN,18232
1,2D,OSBORN,11863
4,2D,ADMIRE,12683
2,2R,BROWN LEASE CAROL ANN,19010
6C,2D,DONEGHY-PAUL,14161
1,2D,PARKER,17066
2-20,2R,CLOUD CREEK,17983
6A,2R,ROBINSON DUTCHER SAND UNIT,21553
8-A,2R,ROBINSON DUTCHER SAND UNIT,21553
9,2R,ROBINSON DUTCHER SAND UNIT,21553
2-11,2R,ROBINSON DUTCHER SAND UNIT,21553
2-1,2D,BLUE,16188
1,2D,FLUSCH ANNA MARIE,20636
33,2R,MORRISON,18232
8,2D,RIDER NORTH,22382
B7,2D,MALLORY-SPOTTS,22466
1,2RSI,CARBONEX,21647
1,2D,HARRIS SWD,11803
1-36,CDW,J.M.,23185
3-R,2R,ROWSEY,19010
1,2D,L.H.,22760
1,CDW,BEAR,16958
1-28,CDW,JORDAN MAE SWD,21696
11-A,2D,MOORE,18907
3,2D,HOOVER,23808
4,2D,GT WAY,1220
7,2R,A RAGSDALE,10368
1,2R,HAPPY STAR MISS CHAT UT 1-WS,18643
1,2D,JOHNSON,16112
2,2D,SCHULTZ,15757
1,2D,"TATE, S. S.",22550
1-30 SWD,2D,WILKENS,21301
83,2D,"SHAWVER,LEE",22388
3,2D,WHITE,19777
1,2D,HARDROW,17441
1-15,2D,YOST,17441
TR 6-2,2R,NW ANTELOPE MISS CHAT UNIT,19996
21,2R,S LONE ELM CLEVELAND SAND UNIT,22182
19,2R,S LONE ELM CLEVELAND SAND UNIT,22182
57,2R,S LONE ELM CLEVELAND SAND UNIT,22182
55,2R,S LONE ELM CLEVELAND SAND UNIT,22182
39,2R,S LONE ELM CLEVELAND SAND UNIT,22182
45,2R,S LONE ELM CLEVELAND SAND UNIT,22182
2,2D,FRAILEY,18496
17,2R,S LONE ELM CLEVELAND SAND UNIT,22182
11,2R,S LONE ELM CLEVELAND SAND UNIT,22182
15,2R,S LONE ELM CLEVELAND SAND UNIT,22182
53,2R,S LONE ELM CLEVELAND SAND UNIT,22182
52,2R,S LONE ELM CLEVELAND SAND UNIT,22182
33,2R,S LONE ELM CLEVELAND SAND UNIT,22182
1,2R,BOLSER,14156
2-SWD,2D,NEMEC,11199
2,2D,SHORT,18890
1,2R,DUNCAN,5910
1,CDW,JACK MCCLUSKEY,19195
3,2D,GUTHRIE,22550
4,2D,DAISY E. YOUNG,21553
1,2D,FARR,15874
12,2R,S LUCIEN WF UT (WM.HENN JR #2),22182
1,2D,SUN-RAGAN,5811
7,2D,MCAUGHTRY (BILLINGS UNIT #35),8693
14,2D,GUAME,22388
84,2D,"SHAWVER, LEE",22388
1-A,2D,RENCE WELL,18534
1,2D,STAPLES,4908
1-30,2D,TAUTFEST,21251
2,2D,WIDAMAN,19118
3,2D,SCHONWALD,17357
1,CDW,ROBINSON,13263
1A,2D,CURTIS,4908
6,2R,DIEM,23610
1-14 SWI,2R,CITY OF PERRY,16896
1,2R,JEROME HAYNE,16896
1A,2R,CITY OF PERRY,16896
2-A,2R,DOLEZAL,16896
1,2R,NW PERRY VERTZ SAND UNIT,15510
1,2D,HALL HEIRS,2193
17,2R,GREEN VALLEY UNIT (STERMER #2),1345
1,2R,BRIDWELL,6999
1,CDW,ELLEN GAY,19451
1-15,2D,DONOVAN YOST,17441
1,2D,KROLL,19118
1,2D,LEHMKUHL,14156
2-16,2D,MERRIMAN,23529
1,2D,OPLINGER,23271
9,2D,L. M. DEVORE,19118
1-25,2D,SADLER,20439
1,CDW,STATE,10239
5,2R,HERMAN FRANK,20976
G4,2R,GUERNSEY,7980
102,2R,SLECSU  ,22182
104,2R,SLECSU  ,22182
106,2R,SLECSU  ,22182
103,2R,SLECSU  ,22182
1,2R,SHIMANEK,22365
1,2D,RUTH,2193
2,2R,S LUCIEN WF UT (HENN #32-2a),22182
1,2R,CECIL-VICTOR,22365
9,2R,NW PERRY VERTZ SAND UNIT,15510
4,2R,DONNA,23657
3-A,2R,DOLEZAL,16896
3,2R,WILD ESTATE,16896
3,2R,W.E.G.,23657
4-25,2R,AIGNER,18685
3,2R,MILDFELT,23657
4,2R,BUSTER,23657
3,2R,BRORSEN,23657
1,2D,CASSODY,22288
3,2D,VANN,16896
5-12,2R,KIRSHNER A,23657
10,2R,NW PERRY VERTZ SAND UNIT,15510
1,2R,PERRY,10239
2,2D,MARY LOU,21822
2-25,2R,LONE ELM,13834
3,2R,"DONNA ""A""",23657
1B,2D,BRUMFIELD,8693
6,2D,SCHNURR,19336
5,2D,HENN,22550
1A,2D,LOW,22182
4,2D,SMITH,2050
29-1,2D,BELLMON ,358178
4,2R,DAUMAN,18268
4,2R,WILD ESTATE,16896
1,CDW,CHATTY,21986
2,2D,ODENWALD,14156
1-18,2D,IDA-MAE,10073
5,2R,NW PERRY VERTZ SAND UNIT,15510
2-29,2D,BELLMON ,15874
2A-91,2R,BEZDICED,21780
1-22,2D,SCHRAMECK,15874
3-20,2R,BEZDICEK,19089
1-24,2D,ZOLDOSKE,15874
1,2D,TEDDI KAYE,2193
4,2R,STEDMAN,22446
33,2R,SLU,22182
6-6,2D,DONNA,16896
16,2R,NW PERRY VERTZ SAND UT,15510
1,2R,MEGENITY-ROOT,21301
26-1,2D,CURBY BROTHERS,19626
4A  SWIW,2R,BROWN,17357
4,2R,GEORGE,19089
17-A,2R,BEZDICEK,21780
1-21,2D,GERKEN,17441
1-16,2D,O'NEIL,17441
B1,2R,BEZDICEK,21780
1,2D,JAMES DAVIS,22664
1-2,2D,TRUEBLOOD,22388
1-3,2D,KODESH,21301
7-22,2D,SARA YOST,17441
1,2D,WOODS EXPLORATION,21690
2,2D,WOODS EXPLORATION,21690
2,2D,LAUDON,19336
1,2D,LINNAEUS,22664
1,2D,ALLEN,21690
1,2D,KANDI SUE SWD,22664
3,2D,ALLEN,21690
2-36,2R,GLENCOE,21860
1-8,2R,TAYLOR,22446
4,2D,ALLEN,21690
1-17,2D,CAGE SWD,22388
23,2R,GRACE,21690
1-24,CDW,EASTOK,22558
1-36,2D,MAT SWD,4999
1-2,2D,COUNTY LINE SWD,22281
1-19,2D,SUPLEX SWD,16896
1-21 SWD,2D,HICKS,23358
1-35,2D,SINGLETON SWD,23358
1-19,2D,MARLAND SWD,22664
1-28 SWD,2D,WILL ,23778
1-23 SWD,2D,GEORGE,23778
1-5 SWD,2D,CARTER,23778
1-13SWD,2D,SUPERMAN,4999
2-2,2D,COUNTY LINE SWD,22281
1-21X SWD,2D,BONTRAGER ,23358
1-9,2D,DAKOTA SWD,22664
1-17 SWD,2D,REAR NAKED CHOKE,22388
3-33,2D,POWERS,22446
1-23 SWD,2D,PRUCHA,19094
8-1 SWD,CDW,HOPPLER,23358
1-23 SWD,2D,TRIANGLE,22388
1-8 SWD,2D,KAW LAND & CATTLE,4999
1-33,2D,YEARLING SWD,22664
1-18 SWD,2D,RED ROCK RANCH,4999
1-10 SWD,CDW,EASTOK,22558
1-10 SWD,2D,VOISE,23358
1-29 SWD,2D,EASTOK-RUARK,22558
1-10 SWD,2D,BRORSEN,23019
1-35 SWD,2D,EASTOK-CABERNET,22558
1SWD,2D,VARGAS 3-20N-1E,23358
1 SWD,2D,BUFFINGTON 29-22N-1E,23358
1-9,2D,HARTSUCK SWD,23019
1 SWD,CDW,PERRY,22443
1 SWD,2D,H. VOISE 14-21N-1E,23358
1 SWD,2D,WOSMEK 23-20N-1W,23358
1 SWD,2D,RUNNING GUN 28-21N-2W,23358
1 SWD,2D,BIG IRON 4-21N-1E,23358
1 SWD,2D,WISEMAN 36-21N-1E,23358
1,2D,G BELLMON SWD,21651
1SWD,2D,THEDFORD ,18119
1,2D,KOPECKY,22182
1A,2D,HENN,817
3,2D,THOMAS YOUNG,23638
6,2R,S LONE ELM CLEVELAND SAND UNIT,22182
17,2D,BILLINGS UNIT,8693
1-D,2D,RESCHLY,15985
137,2R,ALLUWE,22248
Q023,2R,LAWSON,8238
00-8,2R,PAT HENRY,23593
1,2D,DOENGES,18192
2,2D,WEST MOORE,20857
6,2R,WOODS  ,23632
WS-1,2D,HORST,21976
6,2D,HILL (AKA ZIBELL ARBUCKLE),21976
4R,2D,GALLERY-BLANTON,21754
S-1,2D,ALBERT TANNER,13989
WIW#1,2R,LOLA YIRSA,21570
2 WD,2D,NOYES,20857
8,2D,LAWSON,8238
6,2D,LAWSON,8238
1,2D,HILL B WSW,22469
0-3,2R,R.M. THOMPSON,23899
25,2D,LAWSON,8238
1,2R,JOE HEDRICKS WIW,23632
1-W,2R,ROEBUCK,23954
RD-2,2R,MILDRED-PAXTON,13989
W-2,2R,WELLER,22626
W-1,2R,ADAMS,13989
W-2,2R,ADAMS,13989
W-4,2R,WELLER,22626
3,2R,CHAPPELL,22945
WIW 1,2D,"TEMPLE ""B""",23632
WW1,2D,TEMPLE,23632
1,2D,SMITH,21569
1,2D,SMITH A,18192
1,2D,RAY SOUTH SWD,20857
3,2R,MOORE,21976
17-2,2D,ROSE,20857
31-17,2D,RSWD,21838
3-6,2D,BLUE RIBBON,20347
1W,2D,KEITH,22526
     3,2R,STAGER                        ,24009
1,2D,OPAL BROWN,21570
W1,2D,LORENA,23626
W-1,2R,FIDELITY,8238
W1W,2D,"TEMPLE ""C""",23632
14,2D,"SNIDER ""B""",23632
4,2D,YIRSA,21570
3,2D,HILL,22469
21,2D,STEINHAUSER,21570
5,2R,TAYLOR,23954
8,2D,NEVILLE,17211
13,2D,"KUEHN, V",23862
A-12,2D,LUCAS,23862
WIW-2,2R,TEMPLE,23632
WIW-3,2D,TEMPLE,23632
D-1,CDW,ROSE GARDEN SWD,10576
3,2D,WOODY,23862
32,2D,MARSHALL B,20857
D-1,2D,MAY,20347
7-4,2D,GARRETT,20857
17,2D,HAVENS/E. SMITH,23862
5,2D,MACKIE,21976
W-2,2R,FIDELITY,8238
20,2D,RHODES,23058
3-A,2D,O'NEIL (DREWS),23862
5,2R,JAMESON,22089
D5-7,2R,CHRISOM,22933
5,2D,STROUD,22719
8,2R,SUSAN J ROHRS,23804
9,2D,HILL,22469
I-106,2D,PAINTER,20857
1,2D,RAY NORTH SWD,20857
4,2R,KELLY,23632
7-A,2D,GLASS,23862
1,2D,BAIRD SWD,22945
CTA #1,2R,YIRSA,18192
2,2D,BAIRD SWD,22945
1,2D,ADAIR,21976
5,2R,POWELL,18947
20,2R,CLARK,20394
6,2D,RUTH I. HACKATHORN,22722
1A,2D,LEHMAN,18192
27-12,2R,W.C. DOENGES,19866
W-1,2D,HENDRICKS,23632
WW3,2D,SWANSON,22526
2,2D,MINNIE FRY,19212
27-14,2R,W.C. DOENGES,19866
27-10,2R,W.C. DOENGES,19866
27-D,2D,MARTIN-BLUE RIBBON,20347
1 LA,2R,LOWERY,23771
I-1,2R,LEE,23771
W-1,2D,SUMMERS,22771
2,2R,MCGLORY,21976
5,2D,LOWERY,23771
5,2R,LEE,23771
W-3,2R,WELLER,22626
6,2R,LEE,23771
6,2R,KEITH,22526
7,2R,KEITH,22526
D-I,2D,M F CANADA,13989
2,2D,WICKHAM SWD,20857
27-8,2D,BLUE RIBBON,20347
AW-1,2R,MILDRED PAXTON,13989
6AI,2R,M F CANADA,13989
10AI,2R,M F CANADA,13989
AW-6,2R,MILDRED PAXTON,13989
AW-7,2R,MILDRED PAXTON,13989
AW-9,2R,MILDRED PAXTON,13989
AW-4,2R,MILDRED PAXTON,13989
1,2D,RICHARDSON,18192
AW-10,2R,MILDRED PAXTON,13989
AW-12,2R,MILDRED PAXTON,13989
AW-13,2R,MILDRED PAXTON,13989
W-3,2R,GLASS-REED,13989
W-4,2R,GLASS-REED,13989
W-1,2R,GLASS-REED,13989
W-2,2R,GLASS-REED,13989
W-5,2R,GLASS-REED,13989
W-1,2R,UNIVERSITY,13989
W-7,2R,GLASS-REED,13989
2AI,2R,IDA CANADA,13989
3,2R,GLASS-PAXTON,23687
6A 1,2R,IDA CANADA,13989
W-1,2R,GLASS-HARMON,13989
W-2,2R,GLASS-HARMON,13989
W-3,2R,GLASS-HARMON,13989
W-4,2R,GLASS-HARMON,13989
W-5,2R,GLASS HARMON,13989
6-W,2R,GLASS HARMON,13989
W-8,2R,GLASS-HARMON,13989
W-9,2R,GLASS-HARMON,13989
93AI,2R,TEXACO,13989
100AI,2R,TEXACO,13989
108AI,2R,TEXACO,13989
109AI,2R,TEXACO,13989
1,2D,WAITE,13989
WD-1,CDW,TOTAL SERVICE,21367
DISP,2D,MEIR DISPOSAL,21365
301 I,2R,LILLIE TANNER,13989
38,2D,LAWSON,8238
188I,2R,CLYDE TANNER,13989
106I,2R,TEXACO,13989
47I,2R,TEXACO,13989
97I,2R,TEXACO,13989
62I,2R,TEXACO,13989
58I,2R,WAITE,13989
60I,2R,WAITE,13989
32I,2R,TEXACO,13989
56I,2R,WAITE,13989
24I,2R,WAITE,13989
26I,2R,WAITE,13989
74I,2R,WAITE,13989
89I,2R,WAITE,13989
91I,2R,TEXACO,13989
95I,2R,TEXACO,13989
110I,2R,TEXACO,13989
251I,2R,RUNNIN F NORTH,13989
113I,2R,TEXACO,13989
28I,2R,WAITE,13989
76I,2R,WAITE,13989
80I,2R,TEXACO,13989
104I,2R,TEXACO,13989
242I,2R,RUNNIN F NORTH,13989
175I,2R,RUNNIN F NORTH,13989
194I,2R,RUNNIN F NORTH,13989
45I,2R,WAITE,13989
177I,2R,RUNNING F NORTH,13989
181I,2R,RUNNING F NORTH,13989
200I,2R,RUNNING F NORTH,13989
253I,2R,RUNNING F NORTH,13989
171I,2R,RUNNIN F NORTH,13989
173I,2R,RUNNIN F NORTH,13989
30I,2R,TEXACO,13989
39I,2R,WAITE,13989
163I,2R,RUNNIN F NORTH,13989
196I,2R,RUNNIN F NORTH,13989
198I,2R,RUNNING F NORTH,13989
41I,2R,WAITE,13989
1I,2R,SUAGEE,13989
6I,2R,SUAGEE,13989
3I,2R,IDA CANADA,13989
34I,2R,REGAN,13989
49I,2R,REGAN,13989
51I,2R,REGAN,13989
19I,2R,M F CANADA,13989
2I,2R,SUAGEE,13989
7I,2R,SUAGEE,13989
36I,2R,REGAN,13989
18I,2R,M F CANADA,13989
557 I,2R,ALBERT TANNER,13989
450I,2R,J.S. CONDRY,13989
575 I,2R,LILLIE TANNER,13989
576 I,2R,LILLIE TANNER,13989
577I,2R,IDA TANNER,13989
629 I,2R,LILLIE TANNER,13989
632I,2R,IDA TANNER,13989
13I,2R,M F CANADA,13989
14I,2R,M F CANADA,13989
31I,2R,MFC,13989
32I,2R,M F CANADA,13989
509I,2R,CLYDE TANNER,13989
511I,2R,LILLIE TANNER,13989
513I,2R,IDA TANNER,13989
507I,2R,CLYDE TANNER,13989
573I,2R,LILLIE TANNER,13989
627I,2R,LILLIE TANNER,13989
490I,2R,ALBERT TANNER,13989
555 I,2R,ALBERT TANNER,13989
559I,2R,ALBERT TANNER,13989
611 I,2R,ALBERT TANNER,13989
613I,2R,ALBERT TANNER,13989
553I,2R,W A LOWERY,13989
609 I,2R,W A LOWERY,13989
649I,2R,W A LOWERY,13989
653I,2R,FRANK TANNER,13989
655I,2R,FRANK TANNER,13989
607I,2R,W A LOWERY,13989
651I,2R,W A LOWERY,13989
SWD,2D,RUNNIN F NORTH,13989
77I,2R,PRESTON,13989
96I,2R,PRESTON,13989
98I,2R,PRESTON,13989
108I,2R,PRESTON,13989
119I,2R,PRESTON,13989
117I,2R,PRESTON,13989
128I,2R,PRESTON,13989
75I,2R,PRESTON,13989
81I,2R,PRESTON,13989
94I,2R,PRESTON,13989
106I,2R,PRESTON,13989
79I,2R,PRESTON,13989
83I,2R,PRESTON,13989
84I,2R,PRESTON,13989
115I,2R,PRESTON,13989
126I,2R,PRESTON,13989
104I,2R,PRESTON,13989
102I,2R,PRESTON,13989
113I,2R,PRESTON,13989
124I,2R,PRESTON,13989
100I,2R,PRESTON,13989
111I,2R,PRESTON,13989
92I,2R,PRESTON,13989
623I,2R,LILLIE TANNER,13989
665I,2R,LILLIE TANNER,13989
667I,2R,LILLIE TANNER,13989
571I,2R,LILLIE TANNER,13989
625I,2R,LILLIE TANNER,13989
3,2D,F.D. LAND,20857
565I,2R,ALBERT TANNER,13989
569I,2R,LILLIE TANNER,13989
621I,2R,LILLIE TANNER,13989
500I,2R,ALBERT TANNER,13989
561I,2R,ALBERT TANNER,13989
567I,2R,CLYDE TANNER,13989
426I,2R,BUMGARDNER,13989
428I,2R,ALBERT TANNER,13989
430I,2R,ALBERT TANNER,13989
496I,2R,ALBERT TANNER,13989
497I,2R,ALBERT TANNER,13989
498I,2R,ALBERT TANNER,13989
615I,2R,FRANK TANNER,13989
617I,2R,FRANK TANNER,13989
603I,2R,W.A. LOWERY,13989
458I,2R,NCBSU,13989
312I,2R,NCBSU,13989
691I,2R,FRANK TANNER,13989
389-I,2R,NCBSU,13989
AW-15,2R,MILDRED PAXTON,13989
240I,2R,ZOMA TANNER,13989
366I,2R,CLYDE TANNER,13989
436I,2R,CLYDE TANNER,13989
183I,2R,ZOMA TANNER,13989
299I,2R,ZOMA TANNER,13989
289I,2R,BUMGARNER,13989
356I,2R,BUMGARNER,13989
770I,2R,COSTEN,13989
702I,2R,F.R. GRIMMETT,13989
736I,2R,F.R. GRIMMETT,13989
809I,2R,IDA MAE BROWN,13989
709I,2R,B.H. ROBERTSON,13989
743I,2R,B.H. ROBERTSON,13989
777I,2R,IDA MAE BROWN,13989
672I,2R,B.H. ROBERTSON,13989
647I,2R,W.A. LOWERY,13989
880I,2R,FRANK WHITE,13989
882I,2R,DAVIS HILL,13989
884I,2R,DAVIS HILL,13989
637I,2R,SALLY MINK,13989
680I,2R,SALLY MINK,13989
717I,2R,SALLY MINK,13989
751I,2R,CANDY MINK,13989
420I,2R,T. POORBOY,13989
689I,2R,W.A. LOWERY,13989
690I,2R,W.A. LOWERY,13989
381I,2R,NCBSU,13989
448I,2R,NCBSU,13989
246I,2R,IDA TANNER,13989
248I,2R,NCBSU,13989
250I,2R,NCBSU,13989
3101I,2R,NCBSU,13989
377I,2R,NCBSU,13989
438,2R,CLYDE TANNER,13989
373I,2R,IDA TANNER,13989
442,2R,IDA TANNER,13989
704I,2R,FRANCIS GRIMMETT,13989
375I,2R,IDA TANNER,13989
444,2R,IDA TANNER,13989
F-2,2D,BOK,21569
34,2R,"MOORE ""A""",20857
33,2R,"MOORE ""A""",20857
3-W,2R,LENAPAH,12358
10,2D,LORIAUX,18192
19W,2R,GORDINEER,20857
D-1,2R,BARBEE,19754
1,2D,ENVIROTEK SWD,22422
4-2,2D,JARBOE,23862
25-1,2D,KOTTKE,23862
T-4,2D,STOCKTON,21569
2,2D,RANDALL,18192
1,2D,LENAPAH SWD,23862
6-A,2D,WEBSTER,23862
3D-1,2D,STAR K,21976
11-1,2D,JORDAN,23862
7-3,2D,BRINKMAN,23862
24-1,2D,REITZ,23862
44,2D,LAWSON,8238
1-10,2D,SMITH,12358
46,2D,LAWSON,8238
1,2D,DCCU-C219,20857
19-1,2D,BLUE RIBBON,20347
24-2,2D,MANGELS,23862
1,2D,DDU 34,20857
5-1,2D,WILLIAMS,23862
48,2D,LAWSON,8238
50,2D,LAWSON,8238
2-1,2D,DOUGLAS,23862
60,2D,LISTON C,18192
60,2D,DOENGES RANCH,18192
13-1,2D,MATTIX,17211
88,2D,SMOKERISE RANCH,18192
10,2D,JOHN PIERCE,18192
12,2D,GLASS TRUST,8238
24,2R,DOENGES RANCH,18192
55,2D,LAWSON,8238
60,2D,BERENTZ-BLISS,18192
8-5,2D,TATUMS,21976
734-I,2R,ADA MOON,13989
1,2D,COYLE,21976
1,2D,BAIRD,20857
160,2D,SMOKERISE RANCH,18192
3,2D,MERITT,23632
23-18,2D,T. STEWART,21838
R 34-1,2D,BIG CREEK,21838
2,2D,GRAFFHAM,22722
16,2D,GLASS TRUST,8238
18,2D,GLASS TRUST,8238
35-1,2D,"WALKER, DELORIS ANN",21509
I-N2.5,2R,R.M. THOMPSON,23899
10-4I,2R,IKLN,20857
10-1I,2R,IKLN,20857
10-2I,2R,IKLN,20857
10-3I,2R,IKLN,20857
10-5I,2R,IKLN,20857
10-6I,2R,IKLN,20857
1-10,2R,GARRETT,22945
SWD 60,2D,TAYLOR,18192
1,2D,GLASS HARMON SWD,13989
42-22,2D,ADCOCK SWD,21838
1,2D,HIXON UNKNOWN,23632
W-1,2R,MADDUX,22945
W-2,2R,MADDUX,22945
W-4,2R,MADDUX,22945
W-5,2R,MADDUX,22945
1,2D,BLL SWD,21838
4,2D,NAVE,11926
W-1,2D,TEX MORELAND,23272
W-3,2R,TEX MORELAND,23272
W1,2R,GARRETT,23913
1,2R,GARRETT RC,23913
W2,2R,TEX MORELAND,23272
RC W5,2R,GARETT ,23913
RC W4,2R,GARETT ,23913
RC W6,2R,GARETT ,23913
W8,2R,GARETT RC,23913
W7,2R,GARETT RC,23913
W10,2R,GARETT RC,23913
W9,2R,GARETT RC,23913
W11,2R,GARETT RC,23913
3-W,2D,CARRICO,22597
35,2R,GARRETT RC,23913
W15,2R,GARRETT RC,23913
4,2R,LIEB,22933
W1,2R,TRAVIS RC,23272
45,2R,GARRETT RC,23913
W20,2R,GARRETT RC,23913
W22,2R,GARRETT RC,23913
10-12,2R,IKLN INJ,20857
10-11,2R,IKLN INJ,20857
10-9,2R,IKLN INJ,20857
10-8,2R,IKLN INJ,20857
10-7,2R,IKLN INJ,20857
11-15,2R,IKLN INJ,20857
11-20,2R,IKLN INJ,20857
10-19,2R,IKLN INJ,20857
10-16,2R,IKLN INJ,20857
10-21,2R,IKLN INJ,20857
10-18,2R,IKLN INJ,20857
10-17,2R,IKLN INJ,20857
10-14,2R,IKLN INJ,20857
10-13,2R,IKLN INJ,20857
10-23,2R,IKLN INJ,20857
1-16,2D,ZACHERY J. O'BRIEN SWD,23862
W-2,2D,HENSLEY,22626
W1A,2D,SPURGEON,22945
60,2R,D. TOPPING,21569
13-1 INJ,2R,WEST TRACT,20857
50,2D,D. TOPPING,21569
13-2,2R,WEST TRACT,20857
1,2D,BARBEE,19754
